epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6298,2.58344,28.697,1.23403,0.59211,0.15909,0.09063,0.02646,2.53111,281.784,1.10306,0.00021671,0.00021671,0.00021671
2,19.8739,2.23832,10.2178,1.16632,0.01723,0.03803,0.00549,0.00114,nan,nan,nan,0.000447119,0.000447119,0.000447119
3,28.2359,2.55767,2.94442,1.24463,0,0,0,0,nan,nan,nan,0.000674448,0.000674448,0.000674448
4,36.1191,2.55737,1.96134,1.24062,0,0,0,0,nan,nan,nan,0.000898696,0.000898696,0.000898696
5,43.9458,2.61558,1.8794,1.25903,0,0,0,0,nan,nan,nan,0.00111986,0.00111986,0.00111986
6,51.8538,2.52791,1.81964,1.21134,0,0,0,0,0.00022,212.688,0.00082,0.00133795,0.00133795,0.00133795
7,59.8207,2.83164,1.76524,1.27773,0.00037,0.02041,6e-05,1e-05,1.87274,192.767,1.20094,0.00155296,0.00155296,0.00155296
8,68.0211,2.20443,1.49998,1.06888,0,0,0,0,nan,nan,nan,0.00158998,0.00158998,0.00158998
9,76.0706,2.61246,1.63055,1.12694,0.00506,0.0051,0.00025,9e-05,nan,nan,nan,0.00157898,0.00157898,0.00157898
10,84.2875,2.4617,1.44787,1.12393,0.06251,0.04314,0.01193,0.00526,3.05106,inf,54.4269,0.00156798,0.00156798,0.00156798
11,92.3603,2.26773,1.53311,1.17771,2e-05,0.02273,0,0,1.71007,inf,18.2049,0.00155698,0.00155698,0.00155698
12,100.537,2.4497,1.47061,1.13252,0.05466,0.02551,0.006,0.00177,nan,nan,nan,0.00154598,0.00154598,0.00154598
13,108.504,2.46996,1.55743,1.20204,0.13828,0.06122,0.02671,0.0083,nan,nan,nan,0.00153497,0.00153497,0.00153497
14,116.406,2.0875,1.26429,1.04657,0.55362,0.02041,0.00539,0.002,nan,nan,nan,0.00152397,0.00152397,0.00152397
15,124.474,2.09454,1.34874,1.0541,0.05557,0.04314,0.00409,0.00115,nan,nan,nan,0.00151297,0.00151297,0.00151297
16,132.288,2.08719,1.25106,1.02126,0.10646,0.02551,0.01708,0.00562,nan,nan,nan,0.00150197,0.00150197,0.00150197
17,140.284,2.24546,1.43602,1.12623,0.42083,0.4397,0.38606,0.21287,2.39695,2.18941,1.06174,0.00149096,0.00149096,0.00149096
18,148.736,2.24937,1.28948,1.11842,0.4166,0.38636,0.4086,0.23304,2.1635,1.85754,1.05922,0.00147996,0.00147996,0.00147996
19,157.013,2.21305,1.29817,1.09755,0.6368,0.60616,0.57193,0.24891,2.40964,1.34237,1.0344,0.00146896,0.00146896,0.00146896
20,165.458,2.29211,1.33583,1.17229,0.6963,0.70114,0.71187,0.31049,2.19534,1.22412,1.01266,0.00145796,0.00145796,0.00145796
21,173.875,2.30397,1.28146,1.05899,0.65694,0.54765,0.5667,0.2809,2.33878,1.31009,1.0201,0.00144696,0.00144696,0.00144696
22,181.871,2.2216,1.26987,1.0945,0.59002,0.54917,0.54492,0.24819,2.44254,1.47457,1.03288,0.00143595,0.00143595,0.00143595
23,189.765,2.15714,1.26401,1.08237,0.77498,0.70098,0.71259,0.33113,2.07478,1.11923,0.99399,0.00142495,0.00142495,0.00142495
24,198.056,2.3786,1.16234,1.04604,0.75028,0.70501,0.72918,0.3287,2.13161,1.04619,1.00084,0.00141395,0.00141395,0.00141395
25,205.879,2.01852,1.12562,1.002,0.64258,0.6025,0.60225,0.30553,2.17265,1.46332,0.99625,0.00140295,0.00140295,0.00140295
26,213.784,2.08264,1.21077,1.06999,0.61875,0.73899,0.70147,0.33124,2.1496,1.17743,0.9848,0.00139195,0.00139195,0.00139195
27,222.146,2.22471,1.22804,1.07865,0.55113,0.51855,0.52457,0.24828,2.35695,1.60011,1.0087,0.00138094,0.00138094,0.00138094
28,230.152,2.03905,1.0972,1.09871,0.76247,0.65569,0.70627,0.328,2.14744,1.12711,0.96457,0.00136994,0.00136994,0.00136994
29,238.153,2.15979,1.17316,1.08174,0.78546,0.62848,0.72576,0.33795,1.99512,1.11577,0.99226,0.00135894,0.00135894,0.00135894
30,246.595,2.14334,1.15925,1.05955,0.69314,0.64031,0.62842,0.31075,2.19841,1.27399,1.02048,0.00134794,0.00134794,0.00134794
31,254.593,2.19488,1.22574,1.05854,0.61974,0.64086,0.61244,0.30411,2.1888,1.08297,1.00369,0.00133693,0.00133693,0.00133693
32,262.554,2.17452,1.16476,1.03716,0.59617,0.57978,0.62071,0.31826,2.10788,1.33726,0.99171,0.00132593,0.00132593,0.00132593
33,270.586,2.01206,1.11014,1.09847,0.40838,0.75936,0.37004,0.13113,2.02608,inf,1.22337,0.00131493,0.00131493,0.00131493
34,278.566,1.80589,0.95566,0.95124,0.77923,0.48469,0.53644,0.25588,2.2188,1.60092,1.08275,0.00130393,0.00130393,0.00130393
35,286.542,2.10031,1.08626,1.02356,0.75467,0.76097,0.75505,0.39162,1.89136,1.01713,0.96124,0.00129293,0.00129293,0.00129293
36,295.07,1.90345,0.99815,1.03414,0.71925,0.74814,0.75878,0.37974,1.9599,1.0266,0.97277,0.00128192,0.00128192,0.00128192
37,303.141,2.00286,1.03875,0.97734,0.64181,0.65631,0.68964,0.33516,2.07533,1.23575,1.00187,0.00127092,0.00127092,0.00127092
38,311.082,1.93144,0.96582,0.97592,0.76327,0.67683,0.66572,0.29787,2.15858,1.06298,1.04324,0.00125992,0.00125992,0.00125992
39,319.069,1.90455,1.00897,0.96277,0.78136,0.76299,0.76909,0.35285,1.98401,1.03909,0.99115,0.00124892,0.00124892,0.00124892
40,327.056,1.81655,0.95246,0.92355,0.82077,0.72263,0.76183,0.37858,1.99333,1.00854,0.99328,0.00123791,0.00123791,0.00123791
41,334.833,1.80322,0.88674,0.9577,0.7691,0.68802,0.72338,0.33291,2.05972,1.11081,1.01777,0.00122691,0.00122691,0.00122691
42,342.814,1.99315,1.04379,1.04686,0.77453,0.56494,0.61689,0.30515,2.16226,1.3402,1.02779,0.00121591,0.00121591,0.00121591
43,350.692,1.85751,0.94538,0.96802,0.81557,0.6744,0.72746,0.37362,2.01954,1.0899,0.97566,0.00120491,0.00120491,0.00120491
44,358.685,1.99314,1.01009,1.05661,0.8774,0.72366,0.80854,0.38554,2.04056,1.0283,0.98023,0.00119391,0.00119391,0.00119391
45,366.559,2.07486,1.04785,1.1163,0.75234,0.67161,0.70725,0.36329,2.07415,1.04967,0.97864,0.0011829,0.0011829,0.0011829
46,374.528,1.80592,0.87398,0.98536,0.79759,0.79362,0.78677,0.39523,1.90576,0.90107,0.97857,0.0011719,0.0011719,0.0011719
47,382.893,1.93865,0.98739,1.03642,0.82784,0.81688,0.81209,0.3753,1.95364,0.9539,0.98353,0.0011609,0.0011609,0.0011609
48,390.846,1.95363,0.95882,0.98255,0.75479,0.76341,0.81402,0.37809,2.03906,0.98761,0.96536,0.0011499,0.0011499,0.0011499
49,398.811,2.04641,0.99248,1.02735,0.77991,0.7834,0.7974,0.39891,1.93656,0.99844,0.98,0.00113889,0.00113889,0.00113889
50,407.306,1.95953,0.99359,0.9872,0.81765,0.77597,0.80502,0.41744,1.87178,0.90035,0.9575,0.00112789,0.00112789,0.00112789
51,415.822,2.02437,0.92986,0.98834,0.80492,0.82154,0.81515,0.4091,1.85764,0.88018,0.94842,0.00111689,0.00111689,0.00111689
52,423.834,1.79731,0.91415,1.01313,0.88014,0.76681,0.80985,0.40131,1.89895,0.9182,0.95977,0.00110589,0.00110589,0.00110589
53,431.845,1.83123,0.90478,0.95368,0.80928,0.75375,0.75266,0.39694,1.88542,0.90637,0.95639,0.00109489,0.00109489,0.00109489
54,439.867,2.06027,0.98479,1.00625,0.73681,0.72774,0.71632,0.38414,1.94608,1.07737,0.96558,0.00108388,0.00108388,0.00108388
55,448.119,1.74638,0.92463,0.94454,0.82922,0.78603,0.81005,0.42653,1.81345,0.94066,0.96788,0.00107288,0.00107288,0.00107288
56,456.57,1.92728,0.99229,1.03207,0.82844,0.8269,0.81405,0.39968,1.92067,0.94364,0.95839,0.00106188,0.00106188,0.00106188
57,464.594,1.85499,0.88441,0.97388,0.73528,0.75788,0.75296,0.37847,2.04895,1.02682,0.98535,0.00105088,0.00105088,0.00105088
58,472.576,1.739,0.87862,0.98237,0.85313,0.7834,0.82122,0.41183,1.89894,0.92149,0.96833,0.00103987,0.00103987,0.00103987
59,480.597,1.84429,0.89021,0.96746,0.86649,0.75532,0.79917,0.39969,1.96923,0.90479,0.96541,0.00102887,0.00102887,0.00102887
60,488.607,1.72732,0.8614,0.9451,0.90139,0.78029,0.85142,0.43619,1.86132,0.90193,0.95526,0.00101787,0.00101787,0.00101787
61,497.095,1.86086,0.93515,1.07928,0.85841,0.8162,0.83586,0.4117,1.89906,0.86642,0.98133,0.00100687,0.00100687,0.00100687
62,505.058,1.80319,0.8722,0.94471,0.83251,0.78632,0.79151,0.41096,1.98946,0.87997,0.98316,0.000995866,0.000995866,0.000995866
63,513.036,2.00542,0.98204,0.99164,0.8255,0.82776,0.80591,0.39313,1.97489,0.94529,0.98082,0.000984864,0.000984864,0.000984864
64,521.056,1.89966,0.86563,0.93996,0.79511,0.77718,0.76416,0.36628,2.07045,0.96454,0.99328,0.000973861,0.000973861,0.000973861
65,529.054,1.93132,0.91693,0.968,0.83612,0.82063,0.83773,0.41868,1.86393,0.93809,0.9624,0.000962859,0.000962859,0.000962859
66,537.004,1.68699,0.79924,0.89068,0.82198,0.81599,0.82885,0.41498,1.78306,0.8541,0.95772,0.000951857,0.000951857,0.000951857
67,544.988,1.89186,0.8382,0.99338,0.84066,0.70061,0.76498,0.36851,1.86249,1.12983,0.93594,0.000940855,0.000940855,0.000940855
68,552.972,1.71683,0.82631,0.92522,0.82021,0.81679,0.7923,0.41373,1.80126,0.86749,0.94483,0.000929853,0.000929853,0.000929853
69,561.005,1.76007,0.89382,0.95539,0.83518,0.80891,0.78654,0.39665,1.88243,0.90893,0.9642,0.00091885,0.00091885,0.00091885
70,568.962,1.95923,0.90016,0.95593,0.77012,0.59833,0.64537,0.33576,1.97767,1.22524,1.01057,0.000907848,0.000907848,0.000907848
71,576.933,1.97191,0.93178,1.02073,0.74585,0.59926,0.56545,0.25089,2.27937,1.12706,1.10286,0.000896846,0.000896846,0.000896846
72,584.91,1.81022,0.9037,0.99541,0.77251,0.81163,0.77495,0.37319,1.94449,0.95599,0.98277,0.000885844,0.000885844,0.000885844
73,592.908,1.86702,0.96363,0.98966,0.79244,0.85073,0.8152,0.40246,1.91974,0.8636,0.9911,0.000874842,0.000874842,0.000874842
74,600.917,1.78869,0.85084,0.96392,0.81782,0.79158,0.78591,0.39708,1.90511,0.96361,0.96834,0.000863839,0.000863839,0.000863839
